Name,Goal,Status,Currency,DeadlineDate,NamefromUrl,N_Category,N_Location,N_min_Price,N_FAQ,N_Updates,N_Comments,N_ScrapeDate,D_Target,D_backers,D_TotalAmountPledged,D_FAQ,D_updates,D_Comments,D_StartDate,D_EndDate,D_ended
Turbina Jaime,50000,live,EUR,12-23-2017,turbina-jaime,Gadgets,España Spain,50,0,0,0,11-13-2017,0,6,70,1,0,0,11-13-2017,12-23-2017,ended
ATOS_Sofa Arm Rest Table with Phone and Tablet Stand,1000,live,EUR,02-01-2018,atos-sofa-arm-rest-table-with-phone-and-tablet-sta-0,Gadgets,Florence Italy,42,0,0,0,01-02-2018,1,47,2975,0,0,0,01-02-2018,02-01-2018,ended
The Hooke - bring your helmet with you - - motorcycle - bike,5000,live,EUR,02-06-2018,the-hooke-door-helmet-door-locks,Gadgets,Florence Italy,25,0,0,0,12-28-2017,0,15,799,0,0,1,12-28-2017,02-06-2018,ended
Breeze Flameâ„¢ 2.0: Adds Inductive Charging System,8000,live,USD,12-16-2017,breeze-flametm-20-adds-inductive-charging-system,Gadgets,Fort Lauderdale FL,25,0,0,0,11-16-2017,0,9,822,0,1,1,11-16-2017,12-16-2017,ended
Your Wine Scanner For Christmas!,10000,live,EUR,12-16-2017,your-wine-scanner-for-christmas,Gadgets,Grenoble France,69,0,0,3,11-28-2017,1,245,30058,0,0,0,11-28-2017,12-16-2017,ended
Simon - The solar self-watering system!,38000,live,EUR,12-11-2017,simon-the-solar-self-watering-system,Gadgets,Hamburg Germany,25,0,1,0,11-11-2017,0,9,966,0,1,0,11-11-2017,12-11-2017,ended
Simple yet brilliant Safe Multi Crypto Currency Cold Wallet,22000,live,EUR,03-04-2018,simple-yet-brilliant-safe-multi-crypto-currency-co,Gadgets,Hasselt Belgium,10,0,0,0,01-23-2018,0,26,846,0,1,0,01-23-2018,01-27-2018,ended
Civia: The 3-in-1 Audio Solution For Your Phone,39086,live,HKD,02-14-2018,civia-the-3-in-1-audio-solution-for-your-phone,Gadgets,Hong Kong Hong Kong,329,0,0,0,01-15-2018,0,33,9568,0,0,3,01-15-2018,02-14-2018,ended
Fam-it: A Safer Camera to Bring Your Family Closer,30000,live,HKD,12-14-2017,fam-it-worlds-first-family-camera-system,Gadgets,Hong Kong Hong Kong,619,0,0,0,11-14-2017,1,19,30723,0,0,0,11-14-2017,12-14-2017,ended
MAGNAV - World's first GPS car finder USB charging,50000,live,HKD,12-29-2017,magnav-worlds-first-gps-car-finder-usb-charging,Gadgets,Hong Kong Hong Kong,150,0,0,4,11-29-2017,0,2,234,0,0,4,11-29-2017,12-13-2017,ended
PISA light | World's Smallest Rechargeable Flashlight,120000,live,HKD,01-22-2018,pisa-light-worlds-smallest-rechargeable-flashlight,Gadgets,Hong Kong Hong Kong,144,0,0,4,12-03-2017,1,420,126512,0,0,0,12-03-2017,01-22-2018,ended
SEK - Smartphone Expansion Keyboard,800000,live,HKD,12-27-2017,spek-smartphone-peripherals-expansion-keyboard,Gadgets,Hong Kong Hong Kong,770,0,0,0,11-27-2017,0,5,3500,3,4,0,11-27-2017,12-18-2017,ended
The Buddy,125000,live,HKD,02-23-2018,the-buddy,Gadgets,Hong Kong Hong Kong,150,0,0,0,01-09-2018,0,6,1448,0,0,0,01-09-2018,02-23-2018,ended
Super Wireless Charging Station,1800,live,USD,02-14-2018,super-wireless-charging-station,Gadgets,Houston TX,59,0,1,3,01-05-2018,0,333,18812,0,5,26,01-05-2018,01-13-2018,ended
The Key Chain Calendar: Traditional Calendar Redesigned,16000,live,USD,02-22-2018,the-key-chain-calendar-traditional-calendar-redesi,Gadgets,Indianapolis IN,5,0,2,0,01-23-2018,0,10,107,0,3,0,01-23-2018,01-24-2018,ended
Knockrz - Every motorcycle needs a set!,20000,live,USD,02-18-2018,knockrz-every-motorcycle-needs-a-set,Gadgets,Jacksonville FL,15,0,0,1,01-19-2018,0,11,1147,0,2,3,01-18-2018,02-17-2018,ended
Ladder Protection LeiKoSi,100000,live,EUR,02-04-2018,leitersicherung-leikosi,Gadgets,Kaiserslautern Germany,159,0,0,0,01-05-2018,0,3,16,0,0,0,01-05-2018,02-04-2018,ended
SAM White Cane,73500,live,EUR,01-18-2018,sam-white-cane,Gadgets,Krems Austria,5,0,0,0,12-19-2017,0,44,5692,0,5,3,12-19-2017,01-17-2018,ended
SkiEZ,5000,live,USD,01-09-2018,skiez,Gadgets,Lancaster PA,100,0,0,0,11-30-2017,0,2,30,0,0,0,11-30-2017,01-09-2018,ended
The World's Smallest Phone - Introducing The Zanco tiny t1,25000,live,GBP,01-18-2018,the-worlds-smallest-phone-introducing-the-zanco-ti,Gadgets,Leeds UK,35,1,1,17,12-14-2017,1,3405,187247,0,0,0,12-14-2017,01-18-2018,ended
Simplectric - Your DIY Solution to storage shed electricity,100000,live,CAD,02-01-2018,simplectric-your-diy-solution-to-storage-shed-elec,Gadgets,London Canada,100,0,0,0,01-02-2018,0,5,314,0,2,0,01-02-2018,01-08-2018,ended
eHypnotizer - a self hypnosis device,25000,live,GBP,12-14-2017,ehypnotizer-a-self-hypnosis-device,Gadgets,London UK,15,0,0,0,11-14-2017,0,15,1500,0,0,0,11-14-2017,12-14-2017,ended
Fidget Spinner Power bank by Zmart Zoom,150000,live,GBP,01-07-2018,fidget-spinner-power-bank-by-zmart-zoom,Gadgets,London UK,12,0,0,0,11-18-2017,0,6,363,0,0,0,11-18-2017,01-07-2018,ended
Juice Infinity - The Best Ski/Snowboard Wax Replacement,10000,live,GBP,01-06-2018,juice-infinity-the-best-ski-snowboard-wax-replacem,Gadgets,London UK,15,8,0,1,12-07-2017,1,161,10676,0,0,0,12-07-2017,01-06-2018,ended
Protective iPhone X and 8 Cases - Wolfi,8000,live,EUR,12-12-2017,protective-iphone-x-and-8-cases-wolfi,Gadgets,London UK,32,31,0,2,11-28-2017,0,13,469,27,0,4,11-28-2017,11-28-2017,ended
Vibrasling The WorldÂ´s First Sling-Trainer With Vibration,45000,live,EUR,01-14-2018,vibrasling-the-world-s-first-sling-trainer-with-vi,Gadgets,London UK,25,0,0,0,12-15-2017,0,16,7822,0,0,0,12-15-2017,01-14-2018,ended
CarWink - Making the road a more connected place,80000,live,USD,12-31-2017,carwink-making-the-road-a-more-connected-place,Gadgets,Los Angeles CA,5,7,0,8,11-15-2017,1,679,102255,0,0,0,11-15-2017,12-31-2017,ended
Earbuds: Super High Quality Sound/Ergonomic Design,10000,live,USD,02-10-2018,earbuds-super-high-quality-sound-ergonomic-design,Gadgets,Los Angeles CA,74,0,0,0,01-10-2018,0,12,1010,0,0,2,01-10-2018,02-09-2018,ended
Tornado Gloves: MIDI DJ VJ Vocal Game CAD Controller.,5000,live,USD,01-27-2018,tornado-gloves-midi-dj-vj-vocal-game-cad-controlle,Gadgets,Los Angeles CA,70,4,1,11,11-29-2017,0,28,7459,4,18,26,11-28-2017,01-26-2018,ended
Wavix Revolutionary Earplugs,15000,live,USD,12-14-2017,wavix-revolutionary-earplugs,Gadgets,Los Angeles CA,25,0,0,0,11-14-2017,0,32,1288,0,1,0,11-14-2017,12-14-2018,ended
FitSmoke: your personal trainer against smoking addiction.,35000,live,EUR,01-18-2018,fitsmoke-your-personal-trainer-against-smoking-add,Gadgets,Lucca Italy,39,4,0,0,12-19-2017,0,53,2524,4,2,3,12-19-2017,01-18-2018,ended
Charggee: A New Way to Charge. Increase gadgets longevity.,30000,live,GBP,02-02-2018,charggee-a-new-way-to-charge-protect-your-mobile-d,Gadgets,Manchester UK,20,0,0,0,12-14-2017,1,235,32263,0,0,0,12-14-2017,02-02-2018,ended
Therapy Fit - The Ultimate 4-in-1 Foot & Calf Massager,20000,live,GBP,01-10-2018,therapy-fit-the-ultimate-4-in-1-foot-and-calf-mass,Gadgets,Manchester UK,215,0,0,0,12-11-2017,0,13,2911,0,0,0,12-11-2017,01-10-2018,ended
WARNING: The World's Most Outrageous Comedy Figurines,30000,live,GBP,02-12-2018,warning-the-worlds-most-outrageous-comedy-figurine,Gadgets,Manchester UK,5,0,0,1,01-03-2018,0,1,1,0,0,1,01-03-2018,02-12-2018,ended
Plank.com - Fundraiser for Brain Injury Awareness Month 2018,10000,live,USD,01-07-2018,plankcom-live-online-group-workouts-for-the-people,Gadgets,Manhattan NY,100,0,0,0,11-19-2017,0,2,200,0,1,0,11-07-2017,01-06-2018,ended
The FOCUS BALL,5000,live,USD,02-11-2018,the-focus-ball-0,Gadgets,Manhattan NY,30,0,0,0,01-12-2018,0,5,192,0,0,0,01-12-2018,02-11-2018,ended
Pill Swallowing Device,10000,live,USD,01-17-2018,pill-swallowing-device,Gadgets,Memphis TN,1000,0,0,0,12-23-2017,0,16,381,0,0,3,12-23-2017,01-17-2018,ended
Lower Back Pain Relief - BodyBloks!,10000,live,USD,01-24-2018,lower-back-pain-relief-bodybloks,Gadgets,Merrit Island FL,10,0,0,2,12-15-2017,0,60,1455,0,3,12,12-15-2017,01-24-2018,ended
Anti Theft Back Pack,10000,live,MXN,12-14-2017,anti-theft-back-pack,Gadgets,Mexico City Mexico,559,0,0,0,12-05-2017,0,5,2447,0,0,2,12-05-2017,12-05-2017,ended
K-9ite Safety Light - LED Safety Belt for Dogs,25000,live,USD,02-22-2018,k-9ite-safety-light-worlds-first-led-safety-belt-f,Gadgets,Miami FL,45,0,0,0,01-18-2018,0,15,584,0,2,0,01-18-2018,02-22-2018,ended
Magnet Driverâ„¢ DDN: The Total Tool to Drill Drive and Nail.,20000,live,USD,02-05-2018,magnet-drivertm-ddn-the-total-tool-to-drill-drive,Gadgets,Miami FL,17,0,0,1,12-27-2017,1,1181,114783,0,0,0,12-27-2017,02-05-2018,ended
CALLIGURT Design - Gadget for Laptop Sport &Travel Bag,2900,live,EUR,12-03-2017,calligurt-design-gadget-for-laptop-sport-andtravel,Gadgets,Munich Germany,19,0,0,0,11-28-2017,0,13,356,0,0,0,11-28-2017,12-03-2017,ended
On Mute - The First Microphone Muting Adapter,5000,live,USD,02-14-2018,on-mute-the-first-microphone-muting-adapter,Gadgets,New York NY,8,0,0,3,01-25-2018,1,127,5369,0,0,0,01-25-2018,02-14-2018,ended
Powpic. The Gun Powder Pictures,5000,live,USD,12-25-2017,powpic-the-gun-powder-pictures-0,Gadgets,New York NY,15,0,0,23,11-21-2017,1,144,9481,0,0,0,11-20-2017,12-25-2017,ended
I&Phone: Anti-Theft Smartphone Tracker with Automatic Lock,10000,live,USD,02-07-2018,iandphone-steal-my-phone-if-you-can,Gadgets,Newport Beach CA,29,0,0,10,12-14-2017,0,247,16194,0,2,44,12-14-2017,01-04-2018,ended
Rayo: The Ultimate Bicycle Tail-Light,10000,live,USD,01-21-2018,rayo-the-ultimate-bicycle-tail-light,Gadgets,Newport Beach CA,39,0,1,9,12-07-2017,1,1593,125986,0,0,0,12-07-2017,01-21-2018,ended
Graffiti Gripâ„¢ Interactive display handle for your tumbler.,55000,live,USD,02-02-2018,graffiti-griptm-interactive-display-handle-for-you,Gadgets,Orlando FL,10,0,1,0,01-03-2018,0,24,1819,3,4,3,01-03-2018,02-02-2018,ended
Place X Razor - a stand for your razor.,9000,live,USD,12-11-2017,place-x-razor-a-stand-for-your-razor,Gadgets,Orlando FL,39,0,1,0,11-14-2017,0,0,0,0,1,0,11-14-2017,11-18-2017,ended
4Paws: Anti-Jumping and Counter Surfing Dog Training Collar,25000,live,USD,01-13-2018,4paws-anti-jumping-and-counter-surfing-dog-trainin,Gadgets,Orono MN,120,0,0,0,12-14-2017,0,5,286,0,1,2,12-14-2017,01-13-2018,ended
Automatic License Plate Mount,2000,live,USD,02-03-2018,automatic-license-plate-mount,Gadgets,Pasco WA,0,0,0,0,12-18-2017,0,2,101,0,0,2,12-18-2017,02-03-2018,ended
MagneTronz Magnetic Spinners,10545,live,USD,01-03-2018,magnetronz-magnetic-spinners,Gadgets,Paso Robles CA,105,0,0,0,12-04-2017,0,4,316,0,0,0,12-04-2017,01-03-2018,ended
Start your family revolution with missmo!,50000,live,AUD,12-30-2017,start-your-family-revolution-with-missmo,Gadgets,Perth AU,169,0,0,0,11-30-2017,0,4,756,0,4,0,11-30-2017,12-30-2017,ended
Apollo: World's First Graphene Battery USB C PD Power Bank,10000,live,USD,01-24-2018,apollo-worlds-first-graphene-battery-usb-c-pd-powe,Gadgets,Plano TX,69,0,0,18,12-15-2017,1,1461,120185,0,0,0,12-14-2017,01-24-2018,ended
Stripop - Splits Bandages Open,10,live,USD,01-04-2018,stripop-splits-bandages-open,Gadgets,Port Byron IL,315,0,0,4,11-20-2017,1,24,361,0,0,0,11-20-2017,01-04-2018,ended
Spinner Power Pack,10000,live,USD,01-16-2018,spinner-power-pack,Gadgets,Provo UT,9,0,0,0,12-12-2017,0,15,1581,0,1,1,12-12-2017,01-16-2018,ended
dismixed | distill for everyone,500,live,EUR,12-09-2017,dismixed-distill-for-everyone,Gadgets,Rietberg Germany,149,0,0,0,11-22-2017,1,14,1990,0,0,0,11-22-2017,12-09-2017,ended
Stop Thumbsucking with Innovation: Digit Tape Technology,8500,live,USD,12-28-2017,stop-thumbsucking-with-innovation-digit-tape-techn,Gadgets,River Edge NJ,7,0,0,0,11-28-2017,0,3,307,0,0,0,11-28-2017,12-28-2017,ended
Cleep - The World's First Wearable Wrist Camera,30000,live,EUR,12-18-2017,cleep-the-worlds-first-wearable-wrist-camera,Gadgets,Rome Italy,129,9,0,0,11-13-2017,1,99,30587,0,0,0,11-13-2017,12-18-2018,ended
MagLev Toy Train & Rails,20000,live,EUR,03-17-2018,maglev-toy-train-and-rails,Gadgets,Rome Italy,25,0,1,0,02-15-2018,0,4,605,0,5,0,02-15-2018,02-24-2018,ended
CamHatch: Award Winning Webcam Cover | Redefine Your Privacy,20000,live,EUR,02-04-2018,camhatch-award-winning-webcam-cover-redefine-your,Gadgets,Rotterdam Netherlands,5,0,0,2,01-05-2018,1,981,20486,0,0,0,01-05-2018,02-04-2018,ended
Hudly Wireless: Focus on the road,50000,live,USD,01-12-2018,hudly-wireless-focus-on-the-road,Gadgets,San Francisco CA,159,0,0,17,12-04-2017,1,1246,279351,0,0,0,12-04-2017,01-12-2018,ended
FingerPow - One snap to charge your phone,20000,live,USD,12-23-2017,fingerpow-one-snap-to-charge-your-phone,Gadgets,San Jose CA,40,0,0,16,11-23-2017,1,1500,107609,0,0,0,11-23-2017,12-23-2018,ended
Muse Auto - Alexa Voice Assistant for Cars,5000,live,USD,01-13-2018,muse-auto-alexa-voice-assistant-for-cars,Gadgets,San Jose CA,55,0,0,0,12-28-2017,0,11,884,0,0,4,12-28-2017,01-12-2018,ended
The LegDesk. Tablet/smartphone mount secures on a leg.,3000,live,USD,02-23-2018,the-legdesk-tablet-smartphone-mount-secures-on-a-l,Gadgets,Santaquin UT,0,0,0,0,01-24-2018,0,2,100,0,0,0,01-23-2018,02-23-2018,ended
CamBlinds - Sliding camera cover for your laptop/tablet,3000,live,USD,01-31-2018,camblinds-sliding-camera-cover-for-your-laptop-tab,Gadgets,Seattle WA,7,0,0,0,12-29-2017,0,40,688,0,1,8,12-29-2017,01-04-2018,ended
The World's First Affordable Car Seat Carrying Stroller!,62000,live,USD,11-24-2017,strolyy,Gadgets,Seattle WA,29,0,4,0,11-12-2017,0,147,7368,0,5,0,10-10-2017,11-15-2017,ended
The REEL THING - Fishing Gun / Grab Your Gun and GO!!!,20000,live,USD,02-18-2018,the-reel-thing-fishing-gun-grab-your-gun-and-go,Gadgets,Sherwood Shores Granite Shoals TX,20,0,0,0,12-19-2017,0,27,961,11,0,7,12-19-2017,02-17-2018,ended
Alohomora - Automated pet/baby gate unlocking module,3000,live,SGD,12-15-2017,alohomora-unlocking-magic,Gadgets,Singapore Singapore,5,0,0,0,11-15-2017,0,112,2437,0,4,0,11-15-2017,12-15-2017,ended
nomi: Social Emotive Companion,5000,live,SGD,12-04-2017,nomi-social-emotive-companion,Gadgets,Singapore Singapore,10,0,1,4,11-14-2017,1,80,5176,0,0,0,11-14-2017,12-04-2018,ended
SOVA - The High-tech Portable Pillow That's Actually Comfy,25000,live,SGD,12-16-2017,sova-the-high-tech-portable-pillow-thats-actually,Gadgets,Singapore Singapore,35,0,0,0,11-16-2017,0,43,3858,0,0,3,11-16-2017,12-16-2017,ended
Golf Tech,7500,live,USD,01-12-2018,golf-tech,Gadgets,St. Louis MO,50,0,0,0,12-28-2017,0,2,75,0,0,0,12-28-2017,01-12-2018,ended
A navigable multi-functional IoT Button (See new video),135000,live,USD,12-20-2017,qclip-your-digital-assistant-for-easy-to-forget-ta,Gadgets,St. Louis MO,12,0,0,1,11-20-2017,0,13,788,0,2,2,11-20-2017,12-20-2017,ended
Magic Wizard Staff,30000,live,USD,01-05-2018,magic-wizard-staff,Gadgets,St. Paul MN,25,0,0,0,12-06-2017,1,148,30333,0,0,0,12-06-2017,01-05-2018,ended
Put an end to screen time squabbles with Squaggle,300000,live,USD,02-12-2018,put-an-end-to-screen-time-squabbles-with-your-kids,Gadgets,Sydney AU,5,0,0,0,12-14-2017,0,360,34137,2,17,18,12-14-2017,02-12-2018,ended
Socket Lock - iPhone/iPad Charging Cable Wall Lock,350,live,USD,02-01-2018,socket-lock-iphone-ipad-charging-cable-wall-lock-0,Gadgets,Tallahassee FL,9,0,0,0,12-18-2017,0,7,319,0,0,0,12-18-2017,12-25-2017,ended
Hitch Buddy - World's first affordable WiFi backup camera!,20000,live,USD,12-29-2017,hitch-buddy-worlds-first-affordable-wifi-backup-ca,Gadgets,Tehachapi CA,55,0,0,12,11-29-2017,0,74,5264,6,3,23,11-28-2017,12-28-2017,ended
Intelli+: The Smartest iPhone Screen Protector,1000,live,CAD,12-25-2017,intelli-the-smartest-iphone-screen-protector,Gadgets,Toronto Canada,18,0,1,0,12-12-2017,1,433,14899,0,0,0,12-12-2017,12-24-2017,ended
Magnetar Waterproof Wireless Charging Ecosystem for iPhone X,300000,live,HKD,01-13-2018,magnetar-waterproof-wireless-charging-ecosystem-fo,Gadgets,Toronto Canada,400,0,0,0,11-14-2017,0,81,56120,0,0,21,11-14-2017,01-13-2018,ended
Misting Water Bottle CAP,50000,live,CAD,01-12-2018,misting-water-bottle-cap,Gadgets,Toronto Canada,100,0,1,3,12-13-2017,0,33,717,0,1,4,12-13-2017,01-12-2018,ended
Misting Water Bottle CAPS,250000,live,CAD,12-09-2017,misting-water-bottle-hydrate-and-stay-cool,Gadgets,Toronto Canada,50,0,0,0,11-20-2017,0,5,265,0,0,1,11-09-2017,12-09-2017,ended
PRIVI: SMART PRIVACY SOLUTION FOR SECURITY CAMERAS,100000,live,EUR,12-15-2017,privi-smart-privacy-solution-for-security-cameras,Gadgets,Valencia Spain,39,0,1,0,11-15-2017,0,26,19730,0,3,4,11-15-2017,12-12-2018,ended
Hookstick,25000,live,EUR,02-26-2018,hookstick,Gadgets,Venice Italy,0,0,0,0,01-17-2018,0,5,61,0,0,0,01-17-2018,02-26-2018,ended
Metcon Tactical Vest: Train Like You Fight,22500,live,EUR,12-21-2017,metcon-tactical-vest-train-like-you-fight,Gadgets,Vigo Spain,45,0,0,0,11-10-2017,0,66,10674,3,2,0,11-10-2017,12-20-2017,ended
Morphcooker | The all-in-one Electric Camp Stove.,20000,live,NZD,01-09-2018,morphcooker-the-all-in-one-electric-camp-stove,Gadgets,Wellington NZ,139,3,0,7,12-05-2017,1,216,49014,0,0,0,12-05-2017,01-09-2018,ended
The Smart Pillow,1000000,live,USD,01-06-2018,the-smart-pillow,Gadgets,West Lafayette IN,25,0,0,2,12-06-2017,0,0,0,0,0,2,12-06-2017,12-20-2017,ended
Orbit UT - The first of its kind portable Smart Table.,65000,live,USD,12-20-2017,orbit-ut-the-first-of-its-kind-portable-smart-tabl,Gadgets,Westchester IL,25,0,0,0,11-20-2017,0,19,4130,0,2,0,11-20-2017,12-01-2017,ended
The World's first kinetic charger for your cell phone,50000,live,USD,02-21-2018,the-worlds-first-kinetic-charger-for-your-cell-pho,Gadgets,Winnetka Los Angeles CA,79,0,0,2,01-22-2018,0,18,2120,0,1,20,01-22-2018,02-21-2018,ended
sw1tch.me Ena,35000,live,CHF,01-04-2018,sw1tchme-ena,Gadgets,Zurich Switzerland,40,0,0,0,11-20-2017,0,39,2694,2,4,4,11-20-2017,12-31-2017,ended
Omo I,30000,live,EUR,11-29-2017,omo-1,Games,Amsterdam Netherlands,20,0,0,0,11-22-2017,0,9,290,0,1,0,10-30-2017,11-29-2017,ended
Grid Universal Modular Base Adapted for Locking Latches,500,live,USD,11-24-2017,grid-universal-modular-base-adapted-for-locking-la,Games,Arlington VA,54,0,0,0,11-22-2017,0,0,0,0,0,0,10-30-2017,11-24-2017,ended
Glasses Of Doom: Best drinking game of his kind,4000,live,EUR,12-13-2017,glasses-of-doom-best-drinking-game-of-his-kind-0,Games,Assen Netherlands,30,0,0,0,11-22-2017,0,0,0,0,0,0,11-22-2017,12-13-2017,ended
Islands in the Formless Void,26100,live,USD,01-31-2018,islands-in-the-formless-void,Games,Atlanta GA,5,0,0,0,01-01-2018,0,5,61,0,9,2,01-01-2018,01-31-2018,ended
Hide N Hunt Game App,80000,live,NZD,12-11-2017,hide-n-hunt-game-app,Games,Auckland NZ,0,0,0,0,11-14-2017,0,0,0,0,0,0,11-14-2017,12-10-2017,ended
END RUNNER,2000,live,USD,11-30-2017,end-runner,Games,Austin TX,25,0,0,2,11-22-2017,0,5,238,0,0,4,10-29-2017,11-30-2017,ended
Triplanetary - The Classic Game of Space Combat,20000,live,USD,02-09-2018,triplanetary-the-classic-game-of-space-combat,Games,Austin TX,80,2,0,18,01-09-2018,1,866,41097,0,0,0,01-09-2018,02-09-2018,ended
Inclusive: A Pop Culture Party Game,1500,live,USD,01-02-2018,inclusive-a-pop-culture-party-game,Games,Baltimore MD,5,0,0,0,12-02-2017,0,3,55,0,0,0,12-02-2017,01-01-2018,ended
The Nostalgic Teens and Adult Playground,100000,live,USD,01-05-2018,the-nostalgic-teens-and-adult-playground,Games,Baltimore MD,0,0,0,0,11-21-2017,0,2,12,0,0,0,11-21-2017,01-05-2018,ended
Commandeer Armament: Digital Card Game,10000,live,USD,02-04-2018,commandeer-armament-digital-card-game,Games,Bangkok Thailand,10,0,0,0,01-05-2018,0,57,1895,7,10,5,01-05-2018,02-04-2018,ended
Bolitics,10000,live,EUR,01-15-2018,bolitics,Games,Barcelona Spain,20,0,0,0,12-15-2017,0,10,185,0,0,0,12-15-2017,01-15-2018,ended
Creatures of Cthulhu The Card Game !,600,live,USD,02-24-2018,creatures-of-cthulhu-the-card-game,Games,Battle Ground WA,50,0,1,0,01-17-2018,0,1,25,0,1,0,01-17-2018,02-24-2018,ended
Open Culture house for teenagers in Beijing,20000,live,SEK,11-25-2017,open-culture-house-for-teenagers-in-beijing,Games,Beijing China,150,0,0,0,11-22-2017,0,1,280,0,0,0,10-27-2017,11-24-2017,ended
BinarCards the new card system for all,30000,live,EUR,02-13-2018,binarcards-the-new-card-system-for-all,Games,Berlin Germany,34,0,0,1,12-15-2017,0,26,854,1,1,2,12-15-2017,02-13-2018,ended
Land der HÃ¤uptlinge,3500,live,EUR,12-31-2017,land-der-hauptlinge,Games,Berlin Germany,50,0,0,0,11-20-2017,1,51,3550,0,0,0,11-20-2017,12-31-2017,ended
Starfighter: Infinity,15000,live,GBP,12-23-2017,starfighter-infinity,Games,Bicester UK,15,0,0,4,11-23-2017,1,222,17585,0,0,0,11-23-2017,12-23-2017,ended
YOU || The wolf that does not belong to the world,5100,live,EUR,01-22-2018,you-1,Games,Bilbao Spain,5,0,0,0,12-22-2017,0,2,12,0,0,0,12-22-2017,01-20-2018,ended
Battle Snakes Arena - Battle Royale,15000,live,USD,01-21-2018,battle-snakes-arena-battle-royale,Games,Bowling Green KY,10,0,0,0,12-22-2017,0,2,35,0,0,0,12-22-2017,12-29-2017,ended
ONLINELIGA.de - Deutsche Online FuÃŸball-Meisterschaft,10000,live,EUR,12-22-2017,onlineligade-deutsche-online-fuball-meisterschaft,Games,Braunschweig Germany,2,0,0,0,11-22-2017,0,35,647,0,1,0,11-22-2017,12-22-2017,ended
Hungry Worm World Android/Ios game,3500,live,USD,02-11-2018,hungry-worm-world-android-ios-game,Games,Bronx NY,10,0,0,0,01-12-2018,0,2,6,0,0,0,01-12-2018,02-11-2018,ended
CO2peration - Part 1: Mercury,5800,live,AUD,11-20-2017,co2peration-part-1-mercury,Games,Canberra AU,20,0,0,0,11-12-2017,1,38,6284,0,0,0,11-12-2017,11-20-2018,ended
The Chapel on the Cliffs - A Horror Module for Pathfinder,750,live,EUR,11-30-2017,the-chapel-on-the-cliffs-a-horror-module-for-pathf,Games,Cherbourg-Octeville France,7,0,2,11,11-22-2017,1,58,1065,0,0,0,10-31-2017,11-30-2018,ended
Andy Can't Sleep,100,live,USD,12-19-2017,andy-cant-sleep,Games,Chicago IL,10,0,0,0,11-23-2017,0,0,0,0,0,0,11-23-2017,12-18-2017,ended
Fidget Spin Tester,6769,live,USD,01-24-2018,fidget-spin-tester,Games,Chicago IL,50,0,0,0,12-25-2017,0,3,78,0,0,0,12-25-2017,01-24-2018,ended
Semifinal Fantasy - Roll & Write Dungeoncrawl Management,100,live,USD,11-28-2017,semifinal-fantasy-roll-and-write-dungeoncrawl-mana,Games,Collingswood NJ,1,0,0,17,11-24-2017,1,684,1969,0,0,0,11-24-2017,11-27-2017,ended
Bloxorz for Vectrex PC Mac iOS and Android,3000,live,EUR,12-20-2017,bloxorz-for-vectrex-pc-mac-ios-and-android,Games,Cologne Germany,20,0,0,0,11-20-2017,1,60,3908,0,0,0,11-19-2017,12-19-2017,ended
Lithia: Rise Of The Dragon,15000,live,USD,01-11-2018,lithia-rise-of-the-dragon,Games,Columbia MO,30,0,0,0,12-12-2017,0,1,10,0,0,0,12-12-2017,01-11-2018,ended
Hobo Coins - Series II,8000,live,USD,11-26-2017,hobo-coins-series-ii,Games,Columbus OH,26,0,1,45,11-22-2017,1,865,42286,0,0,0,11-05-2017,11-26-2018,ended
The DateKit,2500,live,USD,12-04-2017,the-datekit,Games,Columbus OH,25,3,3,0,11-22-2017,0,8,435,3,4,0,10-20-2017,12-04-2018,ended
Lootopia - Adventure Beyond The Box,9000,live,CAD,12-23-2017,lootopia-the-subscription-box-revolution-is-here,Games,Cowansville Canada,10,2,0,0,11-23-2017,0,23,2434,2,1,0,11-23-2017,12-23-2017,ended
Welcome to Dimension X! Your new gaming Evolution!,200000,live,USD,04-05-2018,welcome-to-dimension-x-your-new-gaming-evolution,Games,Dallas TX,50,0,0,0,02-04-2018,0,4,150,0,0,3,02-04-2018,02-04-2018,ended
Mythica: Fate of Heroes Board Game,11111,live,USD,12-11-2017,mythica-fate-of-heroes-board-game,Games,Deadwood SD,20,0,0,9,11-10-2017,1,217,20459,0,0,0,11-10-2017,12-10-2017,ended
Denver Game Dev Holiday Party,100,live,USD,12-04-2017,denver-game-dev-holiday-party,Games,Denver CO,10,0,0,0,11-13-2017,1,24,710,0,0,0,11-13-2017,12-03-2017,ended
Astrahys,15000,live,EUR,02-17-2018,astrahys,Games,Dijon France,40,0,0,8,01-18-2018,1,159,18110,0,0,0,01-18-2018,02-17-2018,ended
L'gat's Tome of Amazing Creatures,500,live,USD,12-17-2017,lgats-tome-of-amazing-creatures,Games,Du Quoin IL,25,0,0,2,11-16-2017,1,35,610,0,0,0,11-16-2017,12-17-2017,ended
Wizard Spinner,15000,live,USD,11-27-2017,wizard-spinner,Games,Duarte CA,20,0,0,0,11-22-2017,0,2,74,0,0,0,10-28-2017,11-27-2017,ended
GeX - Centralised Gaming Platform,40000,live,EUR,02-16-2018,gex-centralised-gaming-platform,Games,Dublin Ireland,3,0,0,0,12-18-2017,0,21,1414,0,3,1,12-18-2017,02-16-2018,ended
